Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Hello Charlie,2021,102,Comedy,5.6,"3,167",Pankaj Saraswat,Aadar Jain,Jackie Shroff,Shloka Pandit
Noise of Silence,2021,110,"Drama, Romance",7.2,46,Saif Baidya,Puja Jha,Syed Firdaus,Sayantika Nath
BA Pass 3,2021,136,"Drama, Romance",8.3,"1,877",Narendra Singh,Sunny Sachdeva,Armaan Sandhu,Ankita Sahu
Kabaad The Coin,2021,132,Drama,6.6,76,Varadraj Swami,Vivaan Shah,Zoya Afroz,Abhishek Bajaj
Viraat,2021,150,Crime,8.9,294,Narendra Singh,Kritika Sachdeva,Ravi Jhanghu,Lokesh Tilakdhari
The Power,2021,154,"Action, Crime, Drama",5.7,"1,544",Mahesh Manjrekar,Vidyut Jammwal,Shruti Haasan,Salil Ankola
Baikunth,2021,72,Family,9.3,29,Vishwa Bhanu,Vishwa Bhanu,Sangam Shukla,Vijay Thakur
RKRKAY,2021,95,Drama,8.7,12,Rajat Kapoor,Rajat Kapoor,Mallika Sherawat,Ranvir Shorey
Radhe,2021,135,"Action, Crime, Thriller",1.8,"1,62,455",Prabhu Deva,Salman Khan,Disha Patani,Randeep Hooda
Raat Baaki Hai,2021,100,"Drama, Thriller",5.2,332,Avinash Das,Paoli Dam,Anup Soni,Dipannita Sharma
Roohi,2021,134,"Comedy, Horror",4.3,"6,422",Hardik Mehta,Rajkummar Rao,Varun Sharma,Janhvi Kapoor
The Big Bull,2021,153,"Biography, Crime, Drama",6.1,"11,536",Kookie Gulati,Abhishek Bachchan,Nikita Dutta,Ileana D'Cruz
Silence Can You Hear It,2021,136,"Crime, Thriller",6.6,"3,324",Aban Bharucha Deohans,Sahil Vaid,Manoj Bajpayee,Hitha Chandrashekar
Saina,2021,135,"Biography, Drama, Sport",4.2,"3,369",Amole Gupte,Mukesh Agrohari,Olga Anand,Rohan Apte
Sandeep Aur Pinky Faraar,2021,125,"Comedy, Crime, Drama",6.3,"6,489",Dibakar Banerjee,Parineeti Chopra,Arjun Kapoor,Jaideep Ahlawat
Fauji Calling,2021,134,Drama,5.4,77,Aaryaan Saxena,Bidita Bag,Anil Chouhan,Mugdha Godse
Sardar Ka Grandson,2021,139,"Comedy, Drama, Romance",4.1,"3,773",Kaashvi Nair,Neena Gupta,Arjun Kapoor,Rakul Preet Singh
Skater Girl,2021,107,"Drama, Family, Sport",6.6,"1,154",Manjari Makijany,Amy Maghera,Waheeda Rehman,Rachel Saanchita Gupta
Kaagaz,2021,109,"Biography, Comedy, Drama",7.6,"6,738",Satish Kaushik,Pankaj Tripathi,Monal Gajjar,Satish Kaushik
Bansuri The Flute,2021,108,Drama,3.7,7,Hari Viswanath,Anurag Kashyap,Rituparna Sengupta,Upendra Limaye
Kaadan,2021,170,"Action, Drama, Fantasy",9.1,"2,219",Prabu Solomon,Raghu Babu,Rana Daggubati,Abudhar Al Hassan
Jamun,2021,92,"Drama, Family",7.5,409,Gaurav Mehra,Raghuvir Yadav,Shweta Basu Prasad,Sunny Hinduja
Mumbai Saga,2021,135,"Action, Crime",6.1,"7,295",Sanjay Gupta,John Abraham,Emraan Hashmi,Mahesh Manjrekar
Writing with Fire,2021,92,Documentary,8.1,106,Sushmit Ghosh,Rintu Thomas,Meera Devi,Shyamkali Devi
Fire in the Mountains,2021,84,Drama,6.8,26,Ajitpal Singh,Vinamrata Rai,Chandan Bisht,Harshita Tiwari
Nail Polish,2021,128,Drama,7.4,"3,737",Bugs Bhargava Krishna,Arjun Rampal,Manav Kaul,Anand Tiwari
Flight,2021,116,"Action, Thriller",8.3,359,Suraj Joshi,Vishal Arya,Babita Ashiwal,Shibani Bedi
NCR Chapter One,2021,65,Crime,7.8,20,Saif Baidya,Ajay Kkhundal,Manil Mayank Mishra,Puneet Kumar Mishra
Mosagallu,2021,85,Drama,7.9,"1,059",Jeffrey Gee Chin,Vishnu Manchu,Kajal Aggarwal,Sunil Shetty
Boxed,2021,115,Adventure,6.4,10,Mohd Feroz Qureshi,Mantosh Kumar,Jahina Mulla Qureshi,Mohd Feroz Qureshi
Moral Nights,2021,93,Drama,9,37,S. Sunil,Kannanunni,Santhosh Keezhattoor,Sandra Larwin
June,2021,93,Drama,9.4,18,Suhrud Godbole,Vaibhav Khisti,Nilesh Divekar,Jitendra Joshi
